web-scraper-order,web-scraper-start-url,monsterName,paginationLinks,paginationLinks-href,activeName2,activeDescription2,monsterId,leaderName,leaderDescription,attribute,race,star,monsterLink,monsterLink-href,activeName,activeDescription
"1556372145-4083","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","悖論創造 ‧ 道羅斯","1601-1650","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921601-1650","<img src=""https://vignette.wikia.nocookie.net/tos/images/7/79/1642i.png/revision/latest/scale-to-width-down/40?cb=20171222105242&amp;path-prefix=zh"" 	 alt=""1642i""  	class="""" 	 	data-image-key=""1642i.png"" 	data-image-name=""1642i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/7/79/1642i.png/revision/latest/scale-to-width-down/40?cb=20171222105242&amp;path-prefix=zh"" 	 alt=""1642i""  	class="""" 	 	data-image-key=""1642i.png"" 	data-image-name=""1642i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/7/7e/1643i.png/revision/latest/scale-to-width-down/40?cb=20171222105242&amp;path-prefix=zh"" 	 alt=""1643i""  	class="""" 	 	data-image-key=""1643i.png"" 	data-image-name=""1643i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","1643","創造之能","創造之能
光屬性龍類、光屬性獸類及光屬性妖精類生命力 1.5 倍及攻擊力 3.5 倍，並延長移動符石時間 1 秒；且消除 1 組 5 粒符石攻擊力額外提升 1.8 倍，消除 1 組符石的數目愈多，攻擊力額外提升愈多，消除 1 組 8 粒符石可提升至最大 2.4 倍攻擊力","光","龍類","6★","悖論創造 ‧ 道羅斯","https://tos.fandom.com/zh/wiki/%E6%82%96%E8%AB%96%E5%89%B5%E9%80%A0_%E2%80%A7_%E9%81%93%E7%BE%85%E6%96%AF","力量之源","力量之源
1 回合內，自身攻擊力 4 倍；連擊 (Combo) 數目增加 6；隊伍中每個龍類、獸類或妖精類成員將額外增加 1 連擊 (Combo)，最多可額外增加 6 連擊 (Combo)"
"1556372252-4866","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","奮戰獅子 ‧ 加里昂","801-850","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92801-850","<img src=""https://vignette.wikia.nocookie.net/tos/images/f/f0/364i.png/revision/latest/scale-to-width-down/40?cb=20140618194650&amp;path-prefix=zh"" 	 alt=""364i""  	class="""" 	 	data-image-key=""364i.png"" 	data-image-name=""364i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/f/f0/364i.png/revision/latest/scale-to-width-down/40?cb=20140618194650&amp;path-prefix=zh"" 	 alt=""364i""  	class="""" 	 	data-image-key=""364i.png"" 	data-image-name=""364i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/1/15/820i.png/revision/latest/scale-to-width-down/40?cb=20150523103103&amp;path-prefix=zh"" 	 alt=""820i""  	class="""" 	 	data-image-key=""820i.png"" 	data-image-name=""820i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","820","光水堅甲之賦 ‧ 突破","光水堅甲之賦 ‧ 突破
全隊攻擊力 2 倍；同時光屬性和水屬性傷害減少 50%，火屬性傷害減少 30%","光","神族","7★","奮戰獅子 ‧ 加里昂","https://tos.fandom.com/zh/wiki/%E5%A5%AE%E6%88%B0%E7%8D%85%E5%AD%90_%E2%80%A7_%E5%8A%A0%E9%87%8C%E6%98%82","狂戰士","狂戰士
在全部或最少 4 個成員可發動主動技時 ，發動此技會將所有成員技能 CD 重置，提升全隊攻擊力 2 倍並持續 8 回合"
"1556372245-4838","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","紅帽繼主","851-900","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92851-900","<img src=""https://vignette.wikia.nocookie.net/tos/images/f/f8/883i.png/revision/latest/scale-to-width-down/40?cb=20150622135954&amp;path-prefix=zh"" 	 alt=""883i""  	class="""" 	 	data-image-key=""883i.png"" 	data-image-name=""883i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/f/f8/883i.png/revision/latest/scale-to-width-down/40?cb=20150622135954&amp;path-prefix=zh"" 	 alt=""883i""  	class="""" 	 	data-image-key=""883i.png"" 	data-image-name=""883i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/5/50/EvoPlus.png/revision/latest?cb=20130131050700&amp;path-prefix=zh"" 	 alt=""EvoPlus""  	class="""" 	 	data-image-key=""EvoPlus.png"" 	data-image-name=""EvoPlus.png"" 	 	 width=""24""  	 height=""24""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/4/40/257i.png/revision/latest/scale-to-width-down/40?cb=20140618183659&amp;path-prefix=zh"" 	 alt=""257i""  	class="""" 	 	data-image-key=""257i.png"" 	data-image-name=""257i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/e/e7/266i.png/revision/latest/scale-to-width-down/40?cb=20140618184920&amp;path-prefix=zh"" 	 alt=""266i""  	class="""" 	 	data-image-key=""266i.png"" 	data-image-name=""266i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/9/9e/269i.png/revision/latest/scale-to-width-down/40?cb=20140618185035&amp;path-prefix=zh"" 	 alt=""269i""  	class="""" 	 	data-image-key=""269i.png"" 	data-image-name=""269i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/3/3b/386i.png/revision/latest/scale-to-width-down/40?cb=20140618195818&amp;path-prefix=zh"" 	 alt=""386i""  	class="""" 	 	data-image-key=""386i.png"" 	data-image-name=""386i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/0/0d/387i.png/revision/latest/scale-to-width-down/40?cb=20140618200120&amp;path-prefix=zh"" 	 alt=""387i""  	class="""" 	 	data-image-key=""387i.png"" 	data-image-name=""387i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/4/40/884i.png/revision/latest/scale-to-width-down/40?cb=20150622135954&amp;path-prefix=zh"" 	 alt=""884i""  	class="""" 	 	data-image-key=""884i.png"" 	data-image-name=""884i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","883","童趣約定 ‧ 火","童趣約定 ‧ 火
連擊 (Combo) 數為單數時，火屬性攻擊力 2 倍；若連擊 (Combo) 數為雙數時，則火屬性攻擊力 3.5 倍","火","魔族","5★","紅帽繼主","https://tos.fandom.com/zh/wiki/%E7%B4%85%E5%B8%BD%E7%B9%BC%E4%B8%BB","符石變換 ‧ 火","符石變換 ‧ 火
木符石轉化為火符石"
"1556372274-5028","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","骸骨巫妖","651-700","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92651-700","","","673","妖精之約會","妖精之約會
妖精類攻擊力及回復力 1.5 倍","暗","進化素材","5★","骸骨巫妖","https://tos.fandom.com/zh/wiki/%E9%AA%B8%E9%AA%A8%E5%B7%AB%E5%A6%96","魔王躍舞","魔王躍舞
2 回合內，隊伍中妖精類成員愈多，妖精類的攻擊力及回復力愈高，最大 2 倍"
"1556372151-4136","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","黑鐵沃爾特","1551-1600","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921551-1600","","","1593","火之精神","火之精神
火屬性生命力 1.5 倍","火","人類","3★","黑鐵沃爾特","https://tos.fandom.com/zh/wiki/%E9%BB%91%E9%90%B5%E6%B2%83%E7%88%BE%E7%89%B9","火焰進擊","火焰進擊
對敵方全體造成 3 倍火屬性傷害，若以此技能擊斃敵人，可即時再次發動此技能"
"1556372267-4958","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","怒濤海妖 ‧ 波拉","701-750","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92701-750","<img src=""https://vignette.wikia.nocookie.net/tos/images/2/2d/403i.png/revision/latest/scale-to-width-down/40?cb=20140618201451&amp;path-prefix=zh"" 	 alt=""403i""  	class="""" 	 	data-image-key=""403i.png"" 	data-image-name=""403i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/2/2d/403i.png/revision/latest/scale-to-width-down/40?cb=20140618201451&amp;path-prefix=zh"" 	 alt=""403i""  	class="""" 	 	data-image-key=""403i.png"" 	data-image-name=""403i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/2/27/706i.png/revision/latest/scale-to-width-down/40?cb=20141219123725&amp;path-prefix=zh"" 	 alt=""706i""  	class="""" 	 	data-image-key=""706i.png"" 	data-image-name=""706i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","706","海之力","海之力
水屬性攻擊力 1.5 倍","水","獸類","4★","怒濤海妖 ‧ 波拉","https://tos.fandom.com/zh/wiki/%E6%80%92%E6%BF%A4%E6%B5%B7%E5%A6%96_%E2%80%A7_%E6%B3%A2%E6%8B%89","水屬印記","水屬印記
水屬性傷害持續提升，直至沒有水屬性傷害"
"1556372222-4663","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","璃電巨人 ‧ 法布提","1001-1050","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921001-1050","","","1004","聖之怒","聖之怒
光屬性攻擊力 2 倍","光","人類","6★","璃電巨人 ‧ 法布提","https://tos.fandom.com/zh/wiki/%E7%92%83%E9%9B%BB%E5%B7%A8%E4%BA%BA_%E2%80%A7_%E6%B3%95%E5%B8%83%E6%8F%90","沒有技能","沒有技能
沒有技能"
"1556372183-4379","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","獅吼震森 ‧ 木法沙","1301-1350","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921301-1350","<img src=""https://vignette.wikia.nocookie.net/tos/images/e/ef/629i.png/revision/latest/scale-to-width-down/40?cb=20140825144314&amp;path-prefix=zh"" 	 alt=""629i""  	class="""" 	 	data-image-key=""629i.png"" 	data-image-name=""629i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/e/ef/629i.png/revision/latest/scale-to-width-down/40?cb=20140825144314&amp;path-prefix=zh"" 	 alt=""629i""  	class="""" 	 	data-image-key=""629i.png"" 	data-image-name=""629i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/2/27/1323i.png/revision/latest/scale-to-width-down/40?cb=20180707023908&amp;path-prefix=zh"" 	 alt=""1323i""  	class="""" 	 	data-image-key=""1323i.png"" 	data-image-name=""1323i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","1323","森影結界 ‧ 獸","森影結界 ‧ 獸
獸類攻擊力 4.5 倍；木符石兼具其他屬性符石效果，每個獸類成員提升 12.5% 效果，最高 75% (效果可以疊加)","木","獸類","6★","獅吼震森 ‧ 木法沙","https://tos.fandom.com/zh/wiki/%E7%8D%85%E5%90%BC%E9%9C%87%E6%A3%AE_%E2%80%A7_%E6%9C%A8%E6%B3%95%E6%B2%99","窮兇極怒 ‧ 強","窮兇極怒 ‧ 強
1 回合內，自身攻擊力 12 倍。(攻擊力不可與其他成員共享)"
"1556372442-5376","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","黑寡婦伊莎貝爾","301-350","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92301-350","<img src=""https://vignette.wikia.nocookie.net/tos/images/8/8e/307i.png/revision/latest/scale-to-width-down/40?cb=20140618191055&amp;path-prefix=zh"" 	 alt=""307i""  	class="""" 	 	data-image-key=""307i.png"" 	data-image-name=""307i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/8/8e/307i.png/revision/latest/scale-to-width-down/40?cb=20140618191055&amp;path-prefix=zh"" 	 alt=""307i""  	class="""" 	 	data-image-key=""307i.png"" 	data-image-name=""307i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/e/ee/308i.png/revision/latest/scale-to-width-down/40?cb=20140618191102&amp;path-prefix=zh"" 	 alt=""308i""  	class="""" 	 	data-image-key=""308i.png"" 	data-image-name=""308i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","308","妖精之怒","妖精之怒
妖精類攻擊力 2 倍","暗","妖精類","5★","黑寡婦伊莎貝爾","https://tos.fandom.com/zh/wiki/%E9%BB%91%E5%AF%A1%E5%A9%A6%E4%BC%8A%E8%8E%8E%E8%B2%9D%E7%88%BE","魅惑","魅惑
3 回合內，敵方互相或自我進行1次攻擊"
"1556372222-4706","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","罪與責之承諾 ‧ 美狄亞","1001-1050","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921001-1050","<img src=""https://vignette.wikia.nocookie.net/tos/images/b/bd/347i.png/revision/latest/scale-to-width-down/40?cb=20140618193250&amp;path-prefix=zh"" 	 alt=""347i""  	class="""" 	 	data-image-key=""347i.png"" 	data-image-name=""347i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/b/bd/347i.png/revision/latest/scale-to-width-down/40?cb=20140618193250&amp;path-prefix=zh"" 	 alt=""347i""  	class="""" 	 	data-image-key=""347i.png"" 	data-image-name=""347i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/9/90/1047i.png/revision/latest/scale-to-width-down/40?cb=20151116122929&amp;path-prefix=zh"" 	 alt=""1047i""  	class="""" 	 	data-image-key=""1047i.png"" 	data-image-name=""1047i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","1047","火之狂怒","火之狂怒
火屬性攻擊力 2.5 倍","火","人類","7★","罪與責之承諾 ‧ 美狄亞","https://tos.fandom.com/zh/wiki/%E7%BD%AA%E8%88%87%E8%B2%AC%E4%B9%8B%E6%89%BF%E8%AB%BE_%E2%80%A7_%E7%BE%8E%E7%8B%84%E4%BA%9E","喋血戰意","喋血戰意
所有成員攻擊力提升 2 倍，同時火屬性符石掉落機率提升，但受到的傷害提升 1.5 倍 (效果會在關閉此技能或死亡後消失)。此技能可隨時關閉，關閉時，當前技能 CD 減少 4"
